,ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
85,2018,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"978.433.225,79","927.848.090,80","876.876.421,26"
86,2018,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"130.692.896,39","130.692.896,39","130.692.896,39"
87,2018,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"84.965.022,41","69.155.893,01","67.170.726,04"
88,2018,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"37.396.047,71","25.885.889,27","24.919.725,41"
89,2019,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"4.551.277.779,02","4.313.775.173,83","4.103.787.146,66"
90,2019,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.184.707.893,92","2.021.082.059,69","2.012.737.670,06"
91,2019,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.710.898.959,01","1.537.622.607,22","1.504.183.728,55"
92,2019,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"996.166.900,55","954.035.443,40","901.691.153,73"
93,2019,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"82.113.934,29","68.371.224,18","66.252.953,65"
94,2019,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"35.066.159,60","21.541.825,49","20.547.126,97"
95,2019,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.221.712,13","1.221.712,13","1.221.712,13"
96,2020,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"3.406.456.000,28","3.162.516.218,95","2.999.400.392,29"
97,2020,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.473.308.913,66","2.143.592.197,26","2.137.957.382,62"
98,2020,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.718.495.157,92","1.474.817.230,31","1.388.916.516,97"
99,2020,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.026.817.888,19","961.500.548,62","909.468.901,04"
100,2020,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"76.985.692,62","68.791.036,68","65.969.756,91"
101,2020,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"59.093.172,44","39.617.019,83","36.617.961,52"
102,2020,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"241.464,09","241.464,09","241.464,09"
103,2021,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"3.074.310.311,90","2.935.314.730,81","2.512.602.086,49"
104,2021,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.404.749.048,36","1.306.353.220,07","1.305.389.554,52"
105,2021,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.643.617.327,44","1.165.675.937,61","1.131.416.727,57"
106,2021,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.039.435.235,93","968.141.260,18","917.804.427,09"
107,2021,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"63.911.338,08","54.493.289,20","53.369.912,71"
108,2021,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"58.956.529,66","30.734.791,82","29.837.523,07"
109,2021,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"447.241,57","447.241,57","447.241,57"
110,2022,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"4.023.273.841,53","3.812.026.932,28","3.808.000.149,42"
111,2022,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"3.363.575.368,41","3.151.464.257,20","3.003.520.102,30"
112,2022,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.410.381.401,23","1.703.852.026,28","1.621.228.236,69"
113,2022,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.075.189.875,79","972.539.005,48","926.347.165,44"
114,2022,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"47.488.810,55","37.053.593,26","37.230.779,98"
115,2022,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"51.343.436,85","27.479.505,44","26.513.746,73"
116,2022,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.456.214,71","1.456.214,71","1.456.214,71"
117,2023,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"4.805.656.435,00","3.488.115.798,76","3.492.683.471,62"
118,2023,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.735.420.837,34","2.129.316.103,84","1.983.471.577,62"
119,2023,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.255.888.994,13","1.273.119.638,73","1.025.852.168,12"
120,2023,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.075.739.574,12","715.841.272,25","661.659.186,59"
121,2023,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"48.905.368,07","29.758.102,03","29.289.302,49"
122,2023,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"34.154.957,27","21.720.896,75","20.494.763,94"
123,2023,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.576.600,81","2.576.600,81","2.576.600,81"
124,2016,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"1.383.992.548.819,14","1.366.645.901.894,63","1.366.614.839.390,15"
125,2016,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"12.015.761.105,03","11.899.208.975,46","11.893.105.831,84"
126,2016,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"2.338.895.019,37","2.234.374.335,29","519.261.919,17"
127,2016,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"222.899.527,80","213.510.336,40","213.403.982,93"
128,2016,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"200.707.690,64","197.790.435,32","197.790.435,32"
129,2016,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"18.491.878,30","12.544.124,18","11.963.290,86"
130,2016,Fundo Contingente da Extinta RFFSA-FCMP,25916,Ministério da Fazenda,25000,"5.958.990,00","5.877.428,12","5.877.428,12"
131,2016,Fundo Soberano do Brasil,71902,Ministério da Fazenda,25000,"74.398,20","67.929,62","67.929,62"
132,2016,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"300,00","40.937,06","40.937,06"
133,2016,Casa da Moeda do Brasil,25211,Ministério da Fazenda,25000,"0,00","0,00","0,00"
134,2016,Fundo Nacional de Desestatização,28501,Ministério da Fazenda,25000,"0,00","0,00","0,00"
135,2016,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"839.119.567,00","0,00","0,00"
136,2017,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"1.211.338.178.470,86","1.193.767.969.036,75","1.193.757.010.985,54"
137,2017,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"13.216.438.043,45","13.045.240.843,39","12.832.117.849,59"
138,2017,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"2.218.097.894,46","2.172.480.238,77","1.198.053.969,77"
139,2017,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"239.427.236,72","230.854.002,60","229.552.531,39"
140,2017,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"216.804.037,30","213.416.061,58","213.416.061,58"
141,2017,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"92.038.940,63","92.038.940,63","91.055.121,50"
142,2017,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"27.521.863,49","27.520.260,40","27.026.618,55"
143,2017,Fundo Contingente da Extinta RFFSA-FCMP,25916,Ministério da Fazenda,25000,"2.379.633,42","2.300.006,82","2.300.006,82"
144,2017,Fundo Soberano do Brasil,71902,Ministério da Fazenda,25000,"38.811,48","38.811,48","38.811,48"
145,2017,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"0,00","0,00","0,00"
146,2018,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"1.297.368.218.965,89","1.283.725.296.173,93","1.283.711.801.709,85"
147,2018,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"13.690.679.062,98","13.461.625.200,24","13.437.520.183,76"
148,2018,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"2.041.926.752,65","1.382.110.346,94","1.382.110.346,94"
149,2018,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"2.635.783.493,21","2.626.810.165,27","1.316.116.283,26"
150,2018,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"1.075.087.572,00","409.934.506,47","409.851.201,63"
151,2018,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"257.389.275,65","242.902.685,74","229.343.181,54"
152,2018,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"225.639.086,23","221.052.824,21","207.520.329,45"
153,2018,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"41.301.897,68","41.300.011,03","40.863.964,13"
154,2018,Fundo Contingente da Extinta RFFSA-FCMP,25916,Ministério da Fazenda,25000,"1.403.951,55","1.403.951,55","1.403.951,55"
155,2019,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"1.277.278.041.237,00","1.266.698.411.616,81","1.266.689.025.652,07"
156,2019,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"14.301.235.845,43","14.086.064.055,75","14.000.732.631,11"
157,2019,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"2.299.081.994,69","2.299.081.539,57","1.825.604.784,09"
158,2019,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"1.585.373.821,47","1.207.631.503,89","1.207.631.503,89"
159,2019,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"1.104.739.769,00","540.092.189,31","538.395.247,84"
160,2019,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"265.915.536,95","251.276.887,44","236.682.379,18"
161,2019,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"231.980.952,56","229.752.441,50","215.976.257,01"
162,2019,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"21.997.685,57","21.943.754,45","21.492.430,33"
163,2020,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"1.714.156.292.076,24","1.686.461.238.103,06","1.686.432.417.171,21"
164,2020,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"15.697.274.739,79","15.497.504.945,96","15.217.327.020,14"
165,2020,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"2.710.595.279,81","2.593.460.148,61","2.038.200.986,28"
166,2020,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"1.345.902.308,53","874.762.947,35","874.762.947,35"
167,2020,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"451.258.174,89","412.884.832,19","404.756.308,88"
168,2020,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"275.479.520,67","261.677.768,26","247.797.337,82"
169,2020,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"238.911.526,59","234.765.038,85","221.524.158,46"
170,2020,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"17.881.133,93","17.881.133,93","17.508.263,90"
171,2021,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"2.275.102.769.881,87","2.250.030.180.226,95","2.250.008.282.646,58"
172,2021,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"15.856.970.896,41","15.590.647.960,14","15.257.995.576,77"
173,2021,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"1.346.681.931,68","1.346.681.931,68","1.112.102.513,78"
174,2021,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"1.280.353.123,82","863.900.145,57","863.900.145,57"
175,2021,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"366.665.035,79","276.665.001,79","276.665.001,79"
176,2021,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"279.720.341,44","272.070.875,53","252.078.419,91"
177,2021,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"240.973.526,53","236.823.373,25","223.010.679,06"
178,2021,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"36.781.782,35","36.781.782,35","36.279.317,96"
179,2022,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"2.297.101.531.560,01","2.264.459.153.175,67","2.264.449.682.429,59"
180,2022,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"16.243.876.305,26","16.029.266.306,02","15.380.753.919,17"
181,2022,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"1.152.780.167,20","819.577.446,86","819.577.446,86"
182,2022,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"543.498.684,08","374.482.578,10","374.482.578,10"
183,2022,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"242.693.397,18","237.115.051,41","223.125.422,23"
184,2022,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"211.592.184,86","202.884.443,51","186.786.587,89"
185,2022,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"27.987.972,05","27.588.761,75","27.588.761,75"
186,2022,Serviço Federal de Processamento de Dados,25207,Ministério da Fazenda,25000,"0,00","0,00","0,00"
